Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000280615609140382,-0.00797312015819719,0.045362669942786,0,0,0,1.41235892615924,0.00228712352613116,-7.29765763512585E-06,-2.94010546855288E-06,0.00455857425618864,1.08013635049895E-05,0.00565595247654857,0,0,0,0,0,0,package://urdf_v1.3/meshes/base_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/base_link.STL,,[M] Head Back Cover-1;[Assem] Baterry-3/battery -TB47D-1;[Assem] Baterry-3/RoboMaster battery rack-1;[M] Yaw Motor Top Cover-1;[P] Jetson Orin-1;[M] Yaw Motor Holder-1;[M] Handle-1;[Assem] Leg-1/[URDF] 4310-1;[Assem] Leg-2/[URDF] 4310-1,Base Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_yaw_link,-0.0346180793231115,4.76665019955025E-09,0.0469748416515762,0,0,0,0.141006445664123,6.68174131222507E-05,6.55942921285079E-12,3.45775184250981E-06,6.07695896693092E-05,1.04480867657443E-11,4.88946328575659E-05,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_yaw_link.STL,,[Assem] Leg-2/[M] Yaw Connector Offcentered-1;[Assem] Leg-2/[URDF] 4310-2,Left Hip Yaw,Left Yaw Axis,left_hip_yaw_joint,revolute,-0.0875,0,0,3.14159265358979,0,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
left_hip_roll_link,5.55111512312578E-17,-0.0037739346975981,0.040764981494245,0,0,0,0.313038507460088,0.000126438329615031,4.96113671252864E-21,-3.20381920976184E-20,0.000127700123145415,-4.41272296876874E-21,0.000125537548218254,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_roll_link.STL,,[Assem] Leg-2/[M] Hip Connector-2;[Assem] Leg-2/[M] Hip Pitch Motor Front Plate-3;[Assem] Leg-2/[M] Hip Pitch Motor Front Plate-2;[Assem] Leg-2/[URDF] 4340-1;[Assem] Leg-2/[URDF] 4340-2,Left Hip Roll,Left Hip Roll Axis,left_hip_roll_joint,revolute,-0.0145174865902528,-0.003773934697598,0.0518623737059448,0,-1.5707963267949,0,left_hip_yaw_link,0,0,-1,0,0,0,0,,,,,,,,
left_hip_pitch_link,0.0487148607210304,0.00513259639508423,0.0152949631630498,0,0,0,0.181404797807314,2.73934843520432E-05,6.09131129120849E-07,5.9267557120021E-09,0.00025017615395619,6.06969444157498E-21,0.00027459291492862,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_hip_pitch_link.STL,,[Assem] Leg-2/[M] Thigh Pitch Spacer-1;[Assem] Leg-2/[M] Thigh Plate-2;[Assem] Leg-2/[P] Ball Joint Rod-1/[P] Ball Joint Rod-1;[Assem] Leg-2/[P] Ball Joint Rod-1/[P] Ball Joint Rod End 10mm-2;[Assem] Leg-2/[M] Knee Joint Active Linkage-1;[Assem] Leg-2/[P] Bearing 6707 35x44x5-2;[Assem] Leg-2/[M] Knee Active Linkage-1;[Assem] Leg-2/[M] Thigh Plate-1;[Assem] Leg-2/[M] Thigh Plate-4;[Assem] Leg-2/[P] Ball Joint Rod-1/[P] Ball Joint Rod End 10mm-1,Left Hip Pitch,Left Hip Pitch Axis,left_hip_pitch_joint,revolute,0,0.011726065302402,0.0440174865902528,1.5707963267949,0,0,left_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_knee_link,0.0720908560417534,-0.00239456424454926,0.00156713136693912,0,0,0,0.1298788192464,1.60753922568744E-05,-2.53410724620411E-06,-2.63597041804843E-07,6.05337478503681E-05,-5.77087558417288E-09,6.97389453750037E-05,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_knee_link.STL,,[Assem] Leg-2/[M] Knee Joint-2;[Assem] Leg-2/[M] Knee Joint-1;[Assem] Leg-2/[M] Calf Extension-1;[Assem] Leg-2/[M] Calf Plate-1;[Assem] Leg-2/[M] Calf Plate-4;[Assem] Leg-2/[M] Toe Width Extention-1;[Assem] Leg-2/RoboMaster M2006 P36-1;[Assem] Leg-2/[M] Toe Pitch-1;[Assem] Leg-2/[P] Bevel Gear-4;[Assem] Leg-2/[M] Calf Plate-5,Left Knee,Left Knee Axis,left_knee_joint,revolute,0.149999999999999,0,0.0144999999999998,-3.14159265358979,0,0,left_hip_pitch_link,0,0,1,0,0,0,0,,,,,,,,
left_ankle_link,-0.00911085067660343,0.0133193242897699,0.00659262849062116,0,0,0,0.0921064167654803,9.05097170806094E-06,1.81066211035529E-08,3.56823484883399E-09,4.84638222864542E-05,6.57174766424855E-09,4.41364603360046E-05,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/left_ankle_link.STL,,[Assem] Leg-2/[M] Foot Panel-1;[Assem] Leg-2/[P] Bevel Gear-2;[Assem] Leg-2/[P] Al D-Shaft 6x40-1;[Assem] Leg-2/[M] Foot Panel-2;[Assem] Leg-2/[M] Foot Panel Mid-1,Left Ankle,Left Ankle Axis,left_ankle_joint,revolute,0.15,-0.00910507425656893,0,0,0,-1.5707963267949,left_knee_link,0.251595646506534,0,0.967832439350407,0,0,0,0,,,,,,,,
right_hip_yaw_link,-0.00881649938331591,2.5675994663743E-08,0.0255352378322648,0,0,0,0.0261773071845988,2.0182429257254E-05,6.5594292170054E-12,3.45775184250981E-06,1.80746806183912E-05,1.04480867654354E-11,6.19972380664795E-06,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_yaw_link.STL,,[Assem] Leg-1/[M] Yaw Connector Offcentered-1,Right Hip Yaw,Right Hip Yaw Axis,right_hip_yaw_joint,revolute,0.0875,0,0,3.14159265358979,0,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
right_hip_roll_link,-1.80411241501588E-16,6.93889390390723E-17,0.0412474949039922,0,0,0,0.313038507460088,0.000126438329615031,5.49099571055651E-21,-3.12580648870752E-20,0.000127700123145415,-5.18140502966177E-22,0.000125537548218254,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_roll_link.STL,,[Assem] Leg-1/[M] Hip Connector-2;[Assem] Leg-1/[M] Hip Pitch Motor Front Plate-3;[Assem] Leg-1/[M] Hip Pitch Motor Front Plate-2;[Assem] Leg-1/[URDF] 4340-2;[Assem] Leg-1/[URDF] 4340-1,Right Hip Roll,Right Hip Roll Axis,right_hip_roll_joint,revolute,-0.015,0,0.0518623737059446,0,-1.5707963267949,0,right_hip_yaw_link,0,0,-1,0,0,0,0,,,,,,,,
right_hip_pitch_link,0.0499956743955819,0.00526754288885252,0.0156576610584691,0,0,0,0.176757480845002,2.70455464858227E-05,6.09131129121355E-07,5.92675571200314E-09,0.00024982821608997,2.72812180877501E-20,0.0002739090096096,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_hip_pitch_link.STL,,[Assem] Leg-1/[M] Thigh Plate-1;[Assem] Leg-1/[M] Thigh Plate-4;[Assem] Leg-1/[P] Ball Joint Rod-1/[P] Ball Joint Rod-1;[Assem] Leg-1/[M] Thigh Plate-2;[Assem] Leg-1/[M] Knee Joint Active Linkage-1;[Assem] Leg-1/[P] Ball Joint Rod-1/[P] Ball Joint Rod End 10mm-2;[Assem] Leg-1/[P] Bearing 6707 35x44x5-2;[Assem] Leg-1/[M] Knee Active Linkage-1;[Assem] Leg-1/[P] Ball Joint Rod-1/[P] Ball Joint Rod End 10mm-1,Right Hip Pitch,Right Hip Pitch Axis,right_hip_pitch_joint,revolute,0,0.0155000000000001,0.0445,1.5707963267949,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_knee_link,0.0720908559378909,-0.00239456422553633,0.00156713137183238,0,0,0,0.129878818884871,1.60753922240257E-05,-2.53410721720736E-06,-2.6359704121422E-07,6.05337478246619E-05,-5.77087489958282E-09,6.97389453164095E-05,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v1.3/meshes/right_knee_link.STL,,[Assem] Leg-1/[M] Knee Joint-2;[Assem] Leg-1/[M] Knee Joint-1;[Assem] Leg-1/[M] Calf Extension-1;[Assem] Leg-1/[M] Calf Plate-4;[Assem] Leg-1/[M] Calf Plate-5;[Assem] Leg-1/[M] Calf Plate-1;[Assem] Leg-1/RoboMaster M2006 P36-1;[Assem] Leg-1/[M] Toe Pitch-1;[Assem] Leg-1/[M] Toe Width Extention-1;[Assem] Leg-1/[P] Bevel Gear-4,Right Knee,Right Knee Axis,right_knee_joint,revolute,0.15,0,0.0145000000000002,3.14159265358979,0,0,right_hip_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
